"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"52491-39280","RB","Derrick","Derrick Henry","Henry","19.584615854116585","13","10200","DET@TEN","TEN","DET","","","","",""
"52491-54140","RB","Dalvin","Dalvin Cook","Cook","22.991666158040363","12","9400","CHI@MIN","MIN","CHI","","","","",""
"52491-53681","WR","Tyreek","Tyreek Hill","Hill","20.192307692307693","13","9300","KC@NO","KC","NO","","","","",""
"52491-57439","QB","Patrick","Patrick Mahomes","Mahomes","25.71692364032452","13","8900","KC@NO","KC","NO","","","","",""
"52491-16606","WR","DeAndre","DeAndre Hopkins","Hopkins","14.653846153846153","13","8600","PHI@ARI","ARI","PHI","","","","",""
"52491-33076","TE","Travis","Travis Kelce","Kelce","17.08923105093149","13","8500","KC@NO","KC","NO","","","","",""
"52491-64555","WR","Calvin","Calvin Ridley","Ridley","15.65000025431315","12","8400","TB@ATL","ATL","TB","","","","",""
"52491-22015","QB","Russell","Russell Wilson","Wilson","24.74615478515625","13","8400","SEA@WAS","SEA","WAS","","","","",""
"52491-72846","WR","A.J.","A.J. Brown","Brown","15.19999972256747","11","8300","DET@TEN","TEN","DET","","","","",""
"52491-73048","WR","DK","DK Metcalf","Metcalf","16.192307692307693","13","8200","SEA@WAS","SEA","WAS","","","","",""
"52491-63115","QB","Lamar","Lamar Jackson","Jackson","22.084999084472656","12","8200","JAC@BAL","BAL","JAC","","","","",""
"52491-54879","QB","Deshaun","Deshaun Watson","Watson","23.026153564453125","13","8100","HOU@IND","HOU","IND","","","","",""
"52491-63484","QB","Kyler","Kyler Murray","Murray","25.88000018780048","13","8000","PHI@ARI","ARI","PHI","","","","",""
"52491-6498","QB","Tom","Tom Brady","Brady","20.41076894906851","13","7900","TB@ATL","TB","ATL","","","","",""
"52491-42104","RB","Alvin","Alvin Kamara","Kamara","20.361539400540867","13","7800","KC@NO","NO","KC","","","","",""
"52491-38435","QB","Jared","Jared Goff","Goff","17.38923058143029","13","7800","NYJ@LAR","LAR","NYJ","","","","",""
"52491-21948","QB","Ryan","Ryan Tannehill","Tannehill","20.543076735276443","13","7700","DET@TEN","TEN","DET","","","","",""
"52491-64119","RB","Chris","Chris Carson","Carson","15.855555216471354","9","7600","SEA@WAS","SEA","WAS","","","","",""
"52491-85671","WR","Justin","Justin Jefferson","Jefferson","14.346153846153847","13","7600","CHI@MIN","MIN","CHI","","","","",""
"52491-6504","QB","Drew","Drew Brees","Brees","18.32666693793403","9","7500","KC@NO","NO","KC","","","","",""
"52491-45565","QB","Taysom","Taysom Hill","Hill","9.746153611403246","13","7500","KC@NO","NO","KC","","","","",""
"52491-39716","WR","Adam","Adam Thielen","Thielen","15.125","12","7500","CHI@MIN","MIN","CHI","","","","",""
"52491-14190","WR","Julio","Julio Jones","Jones","13.399999830457899","9","7500","TB@ATL","ATL","TB","NA","Hamstring","","",""
"52491-27050","WR","Tyler","Tyler Lockett","Lockett","13.623077392578125","13","7400","SEA@WAS","SEA","WAS","","","","",""
"52491-6616","QB","Matt","Matt Ryan","Ryan","17.153846153846153","13","7400","TB@ATL","ATL","TB","","","","",""
"52491-89675","RB","Jonathan","Jonathan Taylor","Taylor","13.333333333333334","12","7400","HOU@IND","IND","HOU","","","","",""
"52491-29685","WR","Robert","Robert Woods","Woods","13","13","7400","NYJ@LAR","LAR","NYJ","","","","",""
"52491-6654","QB","Matthew","Matthew Stafford","Stafford","17.767691979041466","13","7300","DET@TEN","DET","TEN","","","","",""
"52491-73273","RB","David","David Montgomery","Montgomery","13.858333587646484","12","7300","CHI@MIN","CHI","MIN","","","","",""
"52491-14185","QB","Cam","Cam Newton","Newton","17.50666681925456","12","7300","NE@MIA","NE","MIA","","","","",""
"52491-28643","WR","Allen","Allen Robinson II","Robinson II","13.969231238731972","13","7300","CHI@MIN","CHI","MIN","","","","",""
"52491-63591","RB","Ronald","Ronald Jones II","Jones II","12.192307692307692","13","7200","TB@ATL","TB","ATL","IR","Finger","","",""
"52491-55635","WR","Chris","Chris Godwin","Godwin","11.355555216471354","9","7200","TB@ATL","TB","ATL","","","","",""
"52491-22038","QB","Kirk","Kirk Cousins","Cousins","18.532307551457333","13","7200","CHI@MIN","MIN","CHI","","","","",""
"52491-79970","WR","Cooper","Cooper Kupp","Kupp","11.207692072941708","13","7100","NYJ@LAR","LAR","NYJ","","","","",""
"52491-32384","WR","Mike","Mike Evans","Evans","12.184614915114183","13","7100","TB@ATL","TB","ATL","","","","",""
