"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"52276-29501","WR","Brandin","Brandin Cooks","Cooks","10.408333460489908","12","6900","HOU@CHI","HOU","CHI","Q","Foot","","",""
"52276-91598","RB","D'Andre","D'Andre Swift","Swift","12.455555386013454","9","6900","GB@DET","DET","GB","Q","Illness","","",""
"52276-63519","QB","Daniel","Daniel Jones","Jones","14.245454268022018","11","6800","ARI@NYG","NYG","ARI","Q","Hamstring","","",""
"52276-31001","WR","Amari","Amari Cooper","Cooper","12.933333079020182","12","6800","DAL@CIN","DAL","CIN","","","","",""
"52276-45439","WR","Corey","Corey Davis","Davis","13.060000610351562","10","6800","TEN@JAC","TEN","JAC","","","","",""
"52276-22027","QB","Nick","Nick Foles","Foles","14.047499656677246","8","6800","HOU@CHI","CHI","HOU","","","","",""
"52276-38628","QB","Mitchell","Mitchell Trubisky","Trubisky","10.795000076293945","8","6800","HOU@CHI","CHI","HOU","","","","",""
"52276-14225","QB","Andy","Andy Dalton","Dalton","10.114286150251116","7","6800","DAL@CIN","DAL","CIN","","","","",""
"52276-30635","RB","Mike","Mike Davis","Davis","12.48181845925071","11","6800","DEN@CAR","CAR","DEN","","","","",""
"52276-64051","QB","Drew","Drew Lock","Lock","13.268888685438368","9","6700","DEN@CAR","DEN","CAR","","","","",""
"52276-41562","QB","Nick","Nick Mullens","Mullens","11.268888685438368","9","6700","WAS@SF","SF","WAS","","","","",""
"52276-70324","QB","Carson","Carson Wentz","Wentz","17.78333282470703","12","6700","NO@PHI","PHI","NO","","","","",""
"52276-90933","RB","Antonio","Antonio Gibson","Gibson","13.933333079020182","12","6700","WAS@SF","WAS","SF","O","Toe","","",""
"52276-54604","QB","Jimmy","Jimmy Garoppolo","Garoppolo","11.556666056315104","6","6700","WAS@SF","SF","WAS","IR","Ankle","","",""
"52276-40669","WR","Tyler","Tyler Boyd","Boyd","12.053333282470703","12","6700","DAL@CIN","CIN","DAL","","","","",""
"52276-85798","WR","Brandon","Brandon Aiyuk","Aiyuk","12.911110772026909","9","6700","WAS@SF","SF","WAS","","","","",""
"52276-24755","WR","Jamison","Jamison Crowder","Crowder","12.537500381469727","8","6600","NYJ@SEA","NYJ","SEA","Q","Calf","","",""
"52276-61798","QB","Gardner","Gardner Minshew II","Minshew II","19.41428484235491","7","6600","TEN@JAC","JAC","TEN","","","","",""
"52276-90572","QB","Tua","Tua Tagovailoa","Tagovailoa","9.559999738420759","7","6600","KC@MIA","MIA","KC","","","","",""
"52276-25410","QB","Mike","Mike Glennon","Glennon","8.024999618530273","4","6600","TEN@JAC","JAC","TEN","","","","",""
"52276-54244","WR","Kenny","Kenny Golladay","Golladay","11.15999984741211","5","6600","GB@DET","DET","GB","O","Hip","","",""
"52276-73273","RB","David","David Montgomery","Montgomery","13.027273004705256","11","6600","HOU@CHI","CHI","HOU","","","","",""
"52276-8005","QB","Alex","Alex Smith","Smith","9.402857099260602","7","6600","WAS@SF","WAS","SF","","","","",""
"52276-69531","QB","Jalen","Jalen Hurts","Hurts","1.797999954223633","10","6600","NO@PHI","PHI","NO","","","","",""
"52276-30989","RB","Kenyan","Kenyan Drake","Drake","12.781818736683238","11","6500","ARI@NYG","ARI","NYG","Q","Hip","","",""
"52276-24849","QB","Jameis","Jameis Winston","Winston","1.25","2","6500","NO@PHI","NO","PHI","","","","",""
"52276-31170","QB","Brandon","Brandon Allen","Allen","5.519999821980794","3","6500","DAL@CIN","CIN","DAL","","","","",""
"52276-33260","WR","DeVante","DeVante Parker","Parker","9.97499974568685","12","6500","KC@MIA","MIA","KC","","","","",""
"52276-11500","QB","Colt","Colt McCoy","McCoy","3.7800000508626304","3","6500","ARI@NYG","NYG","ARI","","","","",""
"52276-11612","WR","Antonio","Antonio Brown","Brown","5.320000076293946","5","6500","MIN@TB","TB","MIN","","","","",""
"52276-7659","QB","Ryan","Ryan Fitzpatrick","Fitzpatrick","18.7450008392334","8","6500","KC@MIA","MIA","KC","","","","",""
"52276-26251","WR","Robby","Robby Anderson","Anderson","11.75","12","6500","DEN@CAR","CAR","DEN","","","","",""
"52276-46866","QB","Ryan","Ryan Finley","Finley","0.9000000158945719","3","6500","DAL@CIN","CIN","DAL","","","","",""
"52276-41827","QB","P.J.","P.J. Walker","Walker","3.180000066757202","4","6400","DEN@CAR","CAR","DEN","","","","",""
"52276-73183","QB","Dwayne","Dwayne Haskins Jr.","Haskins Jr.","11.112000274658204","5","6400","WAS@SF","WAS","SF","","","","",""
"52276-85741","RB","Clyde","Clyde Edwards-Helaire","Edwards-Helaire","12.509091463955967","11","6400","KC@MIA","KC","MIA","","","","",""
"52276-89981","WR","Tee","Tee Higgins","Higgins","11.836363358931107","11","6400","DAL@CIN","CIN","DAL","Q","Hamstring","","",""
"52276-63591","RB","Ronald","Ronald Jones II","Jones II","11.966667175292969","12","6300","MIN@TB","TB","MIN","","","","",""
"52276-6714","QB","Joe","Joe Flacco","Flacco","11.55199966430664","5","6300","NYJ@SEA","NYJ","SEA","","","","",""
"52276-56018","WR","Deebo","Deebo Samuel","Samuel","10.549999872843424","6","6300","WAS@SF","SF","WAS","","","","",""
"52276-32158","QB","Garrett","Garrett Gilbert","Gilbert","7.760000228881836","2","6300","DAL@CIN","DAL","CIN","","","","",""
"52276-14377","QB","Tyrod","Tyrod Taylor","Taylor","4.510000228881836","2","6200","ATL@LAC","LAC","ATL","","","","",""
"52276-71845","RB","Miles","Miles Sanders","Sanders","11.433333502875435","9","6200","NO@PHI","PHI","NO","","","","",""
"52276-11460","TE","Rob","Rob Gronkowski","Gronkowski","7.75","12","6200","MIN@TB","TB","MIN","","","","",""
"52276-27986","QB","C.J.","C.J. Beathard","Beathard","2.819999933242798","4","6200","WAS@SF","SF","WAS","","","","",""
"52276-22103","WR","Marvin","Marvin Jones Jr.","Jones Jr.","10.283333460489908","12","6200","GB@DET","DET","GB","","","","",""
"52276-52929","QB","Jake","Jake Luton","Luton","6.851999664306641","5","6200","TEN@JAC","JAC","TEN","","","","",""
"52276-63469","QB","Ben","Ben DiNucci","DiNucci","2.3200000127156577","3","6200","DAL@CIN","DAL","CIN","","","","",""
"52276-63625","RB","Nyheim","Nyheim Hines","Hines","10.641666412353516","12","6100","IND@LV","IND","LV","","","","",""
"52276-28900","RB","Melvin","Melvin Gordon III","Gordon III","10.233333587646484","12","6100","DEN@CAR","DEN","CAR","","","","",""
"52276-39829","WR","Mike","Mike Williams","Williams","9.027273004705256","11","6100","ATL@LAC","LAC","ATL","","","","",""
"52276-30253","QB","Jeff","Jeff Driskel","Driskel","8.020000457763672","4","6100","DEN@CAR","DEN","CAR","IR","Illness","","",""
"52276-61157","QB","Brett","Brett Rypien","Rypien","5.100000063578288","3","6100","DEN@CAR","DEN","CAR","","","","",""
"52276-30447","RB","Todd","Todd Gurley II","Gurley II","12.154545177112926","11","6100","ATL@LAC","ATL","LAC","","","","",""
"52276-53095","QB","Kyle","Kyle Allen","Allen","11.5","4","6100","WAS@SF","WAS","SF","IR","Ankle","","",""
"52276-71706","TE","T.J.","T.J. Hockenson","Hockenson","9.950000127156576","12","6000","GB@DET","DET","GB","","","","",""
"52276-24607","QB","Chad","Chad Kelly","Kelly","0","1","6000","IND@LV","IND","LV","","","","",""
"52276-71710","QB","Nate","Nate Stanley","Stanley","0","0","6000","MIN@TB","MIN","TB","","","","",""
"52276-30761","QB","Nathan","Nathan Peterman","Peterman","1.899999976158142","1","6000","IND@LV","LV","IND","","","","",""
"52276-69694","QB","Shea","Shea Patterson","Patterson","0","0","6000","KC@MIA","KC","MIA","","","","",""
"52276-30788","QB","Tyler","Tyler Bray","Bray","0.24000000953674316","3","6000","HOU@CHI","CHI","HOU","","","","",""
"52276-71798","QB","Anthony","Anthony Gordon","Gordon","0","1","6000","NYJ@SEA","SEA","NYJ","","","","",""
"52276-39034","QB","Kurt","Kurt Benkert","Benkert","0","1","6000","ATL@LAC","ATL","LAC","","","","",""
"52276-63611","QB","Kyle","Kyle Shurmur","Shurmur","0","0","6000","KC@MIA","KC","MIA","","","","",""
"52276-69769","QB","Darius","Darius Bradwell","Bradwell","0","1","6000","ATL@LAC","LAC","ATL","","","","",""
"52276-57537","QB","DeShone","DeShone Kizer","Kizer","0","0","6000","TEN@JAC","TEN","JAC","","","","",""
"52276-45259","QB","Logan","Logan Woodside","Woodside","-0.10999999940395355","2","6000","TEN@JAC","TEN","JAC","","","","",""
"52276-61675","QB","Riley","Riley Neal","Neal","0","1","6000","DEN@CAR","DEN","CAR","","","","",""
"52276-31047","QB","AJ","AJ McCarron","McCarron","8.949999809265137","2","6000","HOU@CHI","HOU","CHI","Q","Undisclosed","","",""
"52276-6679","QB","Matt","Matt Schaub","Schaub","-0.20000000298023224","2","6000","ATL@LAC","ATL","LAC","","","","",""
"52276-88602","QB","Jordan","Jordan Ta'amu","Ta'amu","0","0","6000","KC@MIA","KC","MIA","","","","",""
"52276-61982","QB","Tommy","Tommy Stevens","Stevens","0","0","6000","DEN@CAR","CAR","DEN","","","","",""
"52276-23075","QB","Alex","Alex Tanney","Tanney","0","1","6000","ARI@NYG","NYG","ARI","","","","",""
"52276-8803","QB","Chase","Chase Daniel","Daniel","3.630000114440918","2","6000","GB@DET","DET","GB","","","","",""
"52276-86631","WR","CeeDee","CeeDee Lamb","Lamb","10.633333206176758","12","6000","DAL@CIN","DAL","CIN","","","","",""
"52276-64115","QB","Steven","Steven Montez","Montez","0","1","6000","WAS@SF","WAS","SF","","","","",""
"52276-6803","QB","Josh","Josh McCown","McCown","0","1","6000","HOU@CHI","HOU","CHI","","","","",""
"52276-6808","QB","Matt","Matt Moore","Moore","7.043333053588867","6","6000","KC@MIA","KC","MIA","","","","",""
"52276-29358","QB","Marcus","Marcus Mariota","Mariota","12.43142809186663","7","6000","IND@LV","LV","IND","","","","",""
"52276-29445","QB","Sean","Sean Mannion","Mannion","0.18000000715255737","3","6000","MIN@TB","MIN","TB","","","","",""
"52276-39793","TE","George","George Kittle","Kittle","13.266666412353516","6","6000","WAS@SF","SF","WAS","IR","Foot","","",""
"52276-39818","RB","Wayne","Wayne Gallman Jr.","Gallman Jr.","9.236363497647373","11","6000","ARI@NYG","NYG","ARI","","","","",""
"52276-62364","QB","Josh","Josh Rosen","Rosen","4.595999908447266","5","6000","MIN@TB","TB","MIN","","","","",""
"52276-33702","QB","Ryan","Ryan Griffin","Griffin","0.3100000023841858","2","6000","MIN@TB","TB","MIN","","","","",""
"52276-43956","QB","David","David Fales","Fales","0","1","6000","NYJ@SEA","NYJ","SEA","","","","",""
"52276-72640","QB","Cole","Cole McDonald","McDonald","0","0","6000","TEN@JAC","TEN","JAC","","","","",""
"52276-31716","QB","Dak","Dak Prescott","Prescott","23.18999989827474","6","6000","DAL@CIN","DAL","CIN","IR","Ankle","","",""
"52276-62566","QB","Travis","Travis Jonsen","Jonsen","0","0","6000","MIN@TB","TB","MIN","","","","",""
"52276-52342","QB","Will","Will Grier","Grier","0","2","6000","DEN@CAR","CAR","DEN","","","","",""
"52276-52369","QB","Manny","Manny Wilkins","Wilkins","0","0","6000","GB@DET","GB","DET","","","","",""
"52276-27801","QB","Nate","Nate Sudfeld","Sudfeld","0","1","6000","NO@PHI","PHI","NO","","","","",""
"52276-29915","QB","Brett","Brett Hundley","Hundley","0","2","6000","ARI@NYG","ARI","NYG","","","","",""
"52276-130269","QB","Reid","Reid Sinnett","Sinnett","0","1","6000","KC@MIA","MIA","KC","","","","",""
"52276-54507","QB","Alex","Alex McGough","McGough","0","0","6000","NYJ@SEA","SEA","NYJ","","","","",""
"52276-130312","QB","Broc","Broc Rutter","Rutter","0","1","6000","WAS@SF","SF","WAS","","","","",""
"52276-130334","QB","Jalen","Jalen Morton","Morton","0","0","6000","GB@DET","GB","DET","","","","",""
"52276-130337","QB","Case","Case Cookus","Cookus","0","1","6000","ARI@NYG","NYG","ARI","","","","",""
"52276-27982","QB","Jake","Jake Rudock","Rudock","0","1","6000","KC@MIA","MIA","KC","","","","",""
"52276-52606","QB","David","David Blough","Blough","0","1","6000","GB@DET","DET","GB","","","","",""
"52276-103824","QB","Easton","Easton Stick","Stick","-0.03999999910593033","1","6000","ATL@LAC","LAC","ATL","","","","",""
"52276-69017","QB","Jordan","Jordan Love","Love","0","0","6000","GB@DET","GB","DET","","","","",""
"52276-60840","QB","Jake","Jake Browning","Browning","0","0","6000","MIN@TB","MIN","TB","","","","",""
"52276-62945","QB","Nick","Nick Tiano","Tiano","0","0","6000","HOU@CHI","HOU","CHI","","","","",""
"52276-60930","RB","Myles","Myles Gaskin","Gaskin","12.074999809265137","8","6000","KC@MIA","MIA","KC","IR","Illness","","",""
"52276-34308","QB","Blake","Blake Bortles","Bortles","0","1","6000","DEN@CAR","DEN","CAR","","","","",""
"52276-69132","QB","Khalil","Khalil Tate","Tate","0","1","6000","NO@PHI","PHI","NO","","","","",""
"52276-22031","WR","T.Y.","T.Y. Hilton","Hilton","7.663636641068892","11","6000","IND@LV","IND","LV","","","","",""
"52276-30231","QB","Jacoby","Jacoby Brissett","Brissett","2.5225000381469727","8","6000","IND@LV","IND","LV","","","","",""
"52276-40482","QB","Tim","Tim Boyle","Boyle","-0.08571428912026542","7","6000","GB@DET","GB","DET","","","","",""
"52276-61042","QB","Kendall","Kendall Hinton","Hinton","-0.38999998569488525","2","6000","DEN@CAR","DEN","CAR","","","","",""
"52276-7844","QB","Chad","Chad Henne","Henne","3.5","2","6000","KC@MIA","KC","MIA","","","","",""
"52276-44715","QB","Cooper","Cooper Rush","Rush","0","1","6000","DAL@CIN","DAL","CIN","","","","",""
"52276-69333","QB","Jacob","Jacob Eason","Eason","0","1","6000","IND@LV","IND","LV","","","","",""
"52276-28434","QB","Trevor","Trevor Siemian","Siemian","0.11999999731779099","1","6000","NO@PHI","NO","PHI","","","","",""
"52276-61276","QB","James","James Morgan","Morgan","0","1","6000","NYJ@SEA","NYJ","SEA","","","","",""
"52276-63336","QB","Joe","Joe Burrow","Burrow","17.87200012207031","10","6000","DAL@CIN","CIN","DAL","IR","Knee - acl + mcl","","",""
"52276-55148","QB","Clayton","Clayton Thorson","Thorson","0","1","6000","ARI@NYG","NYG","ARI","","","","",""
"52276-38767","QB","Chris","Chris Streveler","Streveler","0.10000000397364299","3","6000","ARI@NYG","ARI","NYG","","","","",""
"52276-14194","QB","Blaine","Blaine Gabbert","Gabbert","0.033333333830038704","3","6000","MIN@TB","TB","MIN","","","","",""
"52276-26483","QB","Geno","Geno Smith","Smith","0","1","6000","NYJ@SEA","SEA","NYJ","","","","",""
"52276-38837","QB","Danny","Danny Etling","Etling","0","1","6000","NYJ@SEA","SEA","NYJ","","","","",""
"52276-80353","TE","Robert","Robert Tonyan","Tonyan","10.745454268022018","11","5900","GB@DET","GB","DET","","","","",""
"52276-6703","RB","Adrian","Adrian Peterson","Peterson","8.283333460489908","12","5900","GB@DET","DET","GB","","","","",""
"52276-62497","RB","David","David Johnson","Johnson","10.811111450195312","9","5900","HOU@CHI","HOU","CHI","IR","Undisclosed","","",""
"52276-52613","WR","Curtis","Curtis Samuel","Samuel","10.033333460489908","12","5900","DEN@CAR","CAR","DEN","","","","",""
"52276-52917","WR","DJ","DJ Chark Jr.","Chark Jr.","10.3","10","5900","TEN@JAC","JAC","TEN","","","","",""
"52276-41426","RB","Phillip","Phillip Lindsay","Lindsay","5.822222391764323","9","5800","DEN@CAR","DEN","CAR","","","","",""
"52276-56809","WR","Allen","Allen Lazard","Lazard","10.866666158040365","6","5800","GB@DET","GB","DET","","","","",""
"52276-34295","WR","Breshad","Breshad Perriman","Perriman","8.362500190734863","8","5800","NYJ@SEA","NYJ","SEA","","","","",""
"52276-39580","RB","Devontae","Devontae Booker","Booker","6.190908952192827","11","5700","IND@LV","LV","IND","","","","",""
"52276-25290","RB","Giovani","Giovani Bernard","Bernard","7.775000254313151","12","5700","DAL@CIN","CIN","DAL","","","","",""
"52276-41872","TE","Evan","Evan Engram","Engram","7.241666793823242","12","5700","ARI@NYG","NYG","ARI","","","","",""
"52276-56265","TE","Mike","Mike Gesicki","Gesicki","8.09999974568685","12","5700","KC@MIA","MIA","KC","","","","",""
"52276-69213","WR","Michael","Michael Pittman Jr.","Pittman Jr.","6.1200000762939455","10","5700","IND@LV","IND","LV","","","","",""
"52276-24641","WR","Sammy","Sammy Watkins","Watkins","7.757142748151507","7","5600","KC@MIA","KC","MIA","","","","",""
"52276-57651","WR","Travis","Travis Fulgham","Fulgham","9.688888549804688","9","5600","NO@PHI","PHI","NO","","","","",""
"52276-90561","WR","Jerry","Jerry Jeudy","Jeudy","7.533333460489909","12","5600","DEN@CAR","DEN","CAR","","","","",""
"52276-64242","WR","Keke","Keke Coutee","Coutee","7.724999904632568","4","5600","HOU@CHI","HOU","CHI","Q","Knee","","",""
"52276-72453","WR","Denzel","Denzel Mims","Mims","6.271428789411273","7","5600","NYJ@SEA","NYJ","SEA","IR","Personal","","",""
"52276-83074","TE","Dallas","Dallas Goedert","Goedert","8.433333502875435","9","5600","NO@PHI","PHI","NO","","","","",""
"52276-54608","RB","Jerick","Jerick McKinnon","McKinnon","9.154545177112926","11","5600","WAS@SF","SF","WAS","","","","",""
"52276-28473","RB","Carlos","Carlos Hyde","Hyde","7.7000002179827005","7","5600","NYJ@SEA","SEA","NYJ","","","","",""
"52276-40845","TE","Hunter","Hunter Henry","Henry","7.766666412353516","12","5600","ATL@LAC","LAC","ATL","","","","",""
"52276-30733","WR","Cordarrelle","Cordarrelle Patterson","Patterson","4.441666603088379","12","5500","HOU@CHI","CHI","HOU","","","","",""
"52276-71705","TE","Noah","Noah Fant","Fant","7.099999745686849","12","5500","DEN@CAR","DEN","CAR","","","","",""
"52276-94625","WR","Jalen","Jalen Reagor","Reagor","6.412499904632568","8","5500","NO@PHI","PHI","NO","","","","",""
"52276-64031","TE","Hayden","Hayden Hurst","Hurst","7.150000254313151","12","5500","ATL@LAC","ATL","LAC","","","","",""
"52276-27477","WR","Sterling","Sterling Shepard","Shepard","7.766666836208767","9","5500","ARI@NYG","NYG","ARI","","","","",""
"52276-72776","RB","Alexander","Alexander Mattison","Mattison","4.581818320534446","11","5500","MIN@TB","MIN","TB","O","Appendix","","",""
"52276-60858","WR","Christian","Christian Kirk","Kirk","9.418181679465555","11","5500","ARI@NYG","ARI","NYG","","","","",""
"52276-34331","RB","Latavius","Latavius Murray","Murray","8.541666666666666","12","5500","NO@PHI","NO","PHI","","","","",""
"52276-63050","RB","Ty","Ty Johnson","Johnson","4.300000054495675","7","5500","NYJ@SEA","NYJ","SEA","","","","",""
"52276-52916","WR","Russell","Russell Gage","Gage","7.375","12","5500","ATL@LAC","ATL","LAC","","","","",""
"52276-52922","RB","Leonard","Leonard Fournette","Fournette","8.466666327582466","9","5500","MIN@TB","TB","MIN","","","","",""
