First Name,Last Name,Position,Salary,FD Points,Sunday Million,H2H
Allen,Lazard,WR,5500.00,16.2,1.81%,0.64%
Christian,Kirk,WR,5800.00,0.5,1.71%,0.84%
N'Keal,Harry,WR,5100.00,4.4,1.62%,0.83%
Hunter,Renfrow,WR,5200.00,3.1,1.61%,0.66%
Cole,Beasley,WR,5400.00,7.8,1.44%,0.83%
Preston,Williams,WR,5300.00,5.1,1.36%,0.48%
Mike,Evans,WR,7500.00,6.7,1.14%,0.42%
Steven,Sims,WR,5100.00,6.5,1.06%,0.29%
Jalen,Reagor,WR,5200.00,6,0.93%,0.28%
Scotty,Miller,WR,4500.00,10.4,0.85%,0.26%
Larry,Fitzgerald,WR,5300.00,5.4,0.84%,0.38%
Curtis,Samuel,WR,5500.00,6.8,0.68%,0.15%
Parris,Campbell,WR,5100.00,11,0.65%,0.16%
Breshad,Perriman,WR,5800.00,3.2,0.54%,0.12%
John,Ross,WR,5200.00,2.7,0.53%,0.17%
Miles,Boykin,WR,4900.00,5.2,0.48%,0.09%
Justin,Jefferson,WR,5000.00,3.6,0.48%,0.14%
Danny,Amendola,WR,5100.00,10.6,0.42%,0.08%
Mohamed,Sanu,WR,5200.00,,0.41%,0.21%
Laviska,Shenault,WR,4600.00,12.2,0.40%,0.09%
Willie,Snead,WR,5100.00,14.4,0.39%,0.14%
Marquez,Valdes-Scantling,WR,4700.00,17.6,0.36%,0.14%
Chris,Conley,WR,5100.00,1.1,0.35%,0.08%
Tre'Quan,Smith,WR,4700.00,0.9,0.34%,0.05%
Marvin,Hall,WR,4700.00,3.1,0.33%,0.07%
Kenny,Golladay,WR,7300.00,,0.31%,0.27%
Justin,Watson,WR,4700.00,1.1,0.27%,0.04%
JJ,Arcega-Whiteside,WR,5300.00,,0.25%,0.05%
Greg,Ward,WR,4800.00,5.6,0.25%,0.08%
Nelson,Agholor,WR,4900.00,8.8,0.24%,0.10%
Zach,Pascal,WR,5400.00,2.8,0.24%,0.06%
Damiere,Byrd,WR,4600.00,0,0.23%,0.04%
Dante,Pettis,WR,5000.00,0,0.20%,0.05%
Michael,Pittman,WR,5200.00,2,0.19%,0.08%
Olabisi,Johnson,WR,4900.00,7.1,0.18%,0.06%
Russell,Gage,WR,4800.00,15.9,0.18%,0.02%
Trent,Taylor,WR,4600.00,1.7,0.16%,0.07%
Dede,Westbrook,WR,5400.00,,0.15%,0.06%
Ted,Ginn,WR,4800.00,0,0.14%,0.05%
Mike,Williams,WR,5900.00,8.9,0.12%,0.04%
Jalen,Guyton,WR,4500.00,2.1,0.12%,0.07%
Brandon,Aiyuk,WR,5200.00,,0.11%,0.03%
Zach,Ertz,TE,6600.00,9.3,14.49%,22.28%
George,Kittle,TE,8000.00,7.3,13.54%,11.67%
Rob,Gronkowski,TE,5500.00,2.1,13.46%,7.15%
Hayden,Hurst,TE,5200.00,5.3,12.86%,24.43%
Mark,Andrews,TE,7400.00,20.3,9.65%,4.21%
T.J.,Hockenson,TE,5300.00,14.1,5.91%,13.24%
Darren,Waller,TE,6800.00,7.5,5.56%,1.77%
Jared,Cook,TE,5900.00,10.5,5.41%,2.24%
Hunter,Henry,TE,6000.00,9.8,3.56%,1.85%
Jack,Doyle,TE,5300.00,6.4,3.48%,2.13%
Chris,Herndon,TE,4800.00,4.7,2.20%,3.53%
Mike,Gesicki,TE,5400.00,4.5,1.92%,0.78%
Austin,Hooper,TE,5700.00,2.5,1.90%,0.68%
Dallas,Goedert,TE,5200.00,20.1,1.71%,0.68%
Greg,Olsen,TE,4900.00,10.4,1.57%,0.55%
Kyle,Rudolph,TE,5100.00,3.8,0.98%,0.51%
Taysom,Hill,TE,5000.00,4.72,0.94%,0.43%
O.J.,Howard,TE,4700.00,11.6,0.91%,0.39%
Jimmy,Graham,TE,5000.00,10,0.82%,0.24%
Will,Dissly,TE,4900.00,1.8,0.68%,0.22%
Logan,Thomas,TE,4000.00,11.7,0.60%,2.32%
Irv,Smith,TE,4800.00,1.6,0.44%,0.12%
Ian,Thomas,TE,5100.00,2.6,0.41%,0.07%
Tyler,Eifert,TE,4600.00,1.3,0.36%,0.11%
Dawson,Knox,TE,4700.00,3.6,0.32%,0.08%
Jordan,Reed,TE,4500.00,2.2,0.26%,0.08%
James,O'Shaughnessy,TE,4000.00,0.5,0.25%,0.04%
Devin,Asiasi,TE,4100.00,,0.21%,0.05%
C.J.,Uzomah,TE,4600.00,6.5,0.20%,0.08%
Dan,Arnold,TE,4400.00,3.1,0.17%,0.05%
Robert,Tonyan,TE,4200.00,,0.13%,0.04%
Jason,Witten,TE,4500.00,0.7,0.11%,0.05%
Cole,Kmet,TE,4500.00,0,0.10%,0.03%
Indianapolis,Colts,D,3700.00,4,21.65%,44.93%
Buffalo,Bills,D,4700.00,8,13.45%,6.53%
New,England,D,4600.00,11,11.87%,4.88%
Philadelphia,Eagles,D,4500.00,3,8.13%,3.54%
Los,Angeles,D,4200.00,11,7.55%,3.91%
Las,Vegas,D,3200.00,0,4.69%,14.29%
Baltimore,Ravens,D,4800.00,15,4.62%,1.69%
Detroit,Lions,D,3700.00,1,4.13%,2.39%
Washington,Football,D,3400.00,15,3.08%,8.94%
San,Francisco,D,5000.00,4,2.97%,0.96%
Chicago,Bears,D,4400.00,3,2.54%,0.91%
Carolina,Panthers,D,3400.00,-1,1.91%,0.90%
Cincinnati,Bengals,D,3600.00,3,1.60%,0.71%
Cleveland,Browns,D,3000.00,0,1.41%,0.78%
New,York,D,3900.00,7,1.40%,0.70%
Seattle,Seahawks,D,4000.00,6,1.37%,0.52%
Miami,Dolphins,D,3500.00,4,1.33%,0.80%
New,Orleans,D,4100.00,17,1.12%,0.57%
Green,Bay,D,3900.00,5,0.98%,0.53%
Jacksonville,Jaguars,D,3500.00,6,0.95%,0.43%
Minnesota,Vikings,D,4300.00,-4,0.95%,0.33%
Arizona,Cardinals,D,3300.00,6,0.91%,0.33%
Tampa,Bay,D,3800.00,0,0.55%,0.18%
Atlanta,Falcons,D,3600.00,-1,0.38%,0.17%
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
