Week,Year,GID,Last Name,First Name,Pos,Team,h/a,Oppt,FD points,FD salary
3,2020,1523,Mahomes II, Patrick,QB,kan,a,bal,40,9000
3,2020,1412,Wilson, Russell,QB,sea,h,dal,36.8,8700
3,2020,1529,Allen, Josh,QB,buf,h,lar,32.24,8100
3,2020,1501,Prescott, Dak,QB,dal,a,sea,29.48,8500
3,2020,1490,Goff, Jared,QB,lar,a,buf,28.24,7200
3,2020,1537,Murray, Kyler,QB,ari,h,det,24.7,8400
3,2020,1242,Fitzpatrick, Ryan,QB,mia,a,jac,24.7,7000
3,2020,1252,Rodgers, Aaron,QB,gnb,a,nor,24.52,7900
3,2020,1131,Brady, Tom,QB,tam,a,den,23.88,7300
3,2020,1151,Brees, Drew,QB,nor,h,gnb,23.52,8000
3,2020,1514,Wentz, Carson,QB,phi,h,cin,23.5,7600
3,2020,1415,Cousins, Kirk,QB,min,h,ten,21.44,7100
3,2020,1550,Burrow, Joe,QB,cin,a,phi,20.38,7400
3,2020,1232,Roethlisberger, Ben,QB,pit,h,hou,19.18,7500
3,2020,1340,Stafford, Matthew,QB,det,a,ari,18.5,7300
3,2020,1413,Foles, Nick,QB,chi,a,atl,18.22,6300
3,2020,1518,Watson, Deshaun,QB,hou,a,pit,18.06,8000
3,2020,1534,Mullens, Nick,QB,sfo,a,nyg,17.72,6500
3,2020,1552,Herbert, Justin,QB,lac,h,car,15.7,7200
3,2020,1441,Carr, Derek,QB,lvr,a,nwe,15.44,6800
3,2020,1439,Bridgewater, Teddy,QB,car,a,lac,14.6,6700
3,2020,1528,Mayfield, Baker,QB,cle,h,was,14.34,7100
3,2020,1527,Jackson, Lamar,QB,bal,h,kan,14.18,9400
3,2020,1410,Tannehill, Ryan,QB,ten,a,min,13.24,7400
3,2020,1231,Rivers, Philip,QB,ind,h,nyj,12.68,7000
3,2020,1519,Trubisky, Mitchell,QB,chi,a,atl,12.62,7500
3,2020,1301,Ryan, Matt,QB,atl,h,chi,12.42,7800
3,2020,1378,Newton, Cam,QB,nwe,h,lvr,12.18,7700
3,2020,1538,Haskins, Dwayne,QB,was,a,cle,12.16,6600
3,2020,1494,Driskel, Jeff,QB,den,h,tam,11.44,6500
3,2020,1540,Minshew, Gardner,QB,jac,h,mia,10.2,7700
3,2020,1524,Darnold, Sam,QB,nyj,a,ind,9.72,6600
3,2020,1539,Jones, Daniel,QB,nyg,h,sfo,9.06,6900
3,2020,1555,Rypien, Brett,QB,den,h,tam,1.12,6000
