"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"49877-55050","RB","Christian","Christian McCaffrey","McCaffrey","27","1","10500","CAR@TB","CAR","TB","","","","",""
"49877-63115","QB","Lamar","Lamar Jackson","Jackson","27.5","1","9500","BAL@HOU","BAL","HOU","","","","",""
"49877-57439","QB","Patrick","Patrick Mahomes","Mahomes","20.440000534057617","1","9000","KC@LAC","KC","LAC","","","","",""
"49877-64401","RB","Saquon","Saquon Barkley","Barkley","9.600000381469727","1","9000","NYG@CHI","NYG","CHI","","","","",""
"49877-54140","RB","Dalvin","Dalvin Cook","Cook","21.299999237060547","1","8800","MIN@IND","MIN","IND","","","","",""
"49877-45889","WR","Davante","Davante Adams","Adams","34.599998474121094","1","8600","DET@GB","GB","DET","","","","",""
"49877-38791","RB","Ezekiel","Ezekiel Elliott","Elliott","26.200000762939453","1","8600","ATL@DAL","DAL","ATL","","","","",""
"49877-16606","WR","DeAndre","DeAndre Hopkins","Hopkins","22.100000381469727","1","8300","WAS@ARI","ARI","WAS","","","","",""
"49877-39280","RB","Derrick","Derrick Henry","Henry","14.600000381469727","1","8300","JAC@TEN","TEN","JAC","","","","",""
"49877-31716","QB","Dak","Dak Prescott","Prescott","17.639999389648438","1","8300","ATL@DAL","DAL","ATL","","","","",""
"49877-62239","QB","Josh","Josh Allen","Allen","28.18000030517578","1","8200","BUF@MIA","BUF","MIA","","","","",""
"49877-14190","WR","Julio","Julio Jones","Jones","20.200000762939453","1","8200","ATL@DAL","ATL","DAL","","","","",""
"49877-53681","WR","Tyreek","Tyreek Hill","Hill","13.100000381469727","1","8000","KC@LAC","KC","LAC","","","","",""
"49877-85741","RB","Clyde","Clyde Edwards-Helaire","Edwards-Helaire","19.799999237060547","1","8000","KC@LAC","KC","LAC","","","","",""
"49877-63484","QB","Kyler","Kyler Murray","Murray","27.299999237060547","1","8000","WAS@ARI","ARI","WAS","","","","",""
"49877-6894","QB","Aaron","Aaron Rodgers","Rodgers","30.760000228881836","1","7900","DET@GB","GB","DET","","","","",""
"49877-54879","QB","Deshaun","Deshaun Watson","Watson","21.81999969482422","1","7900","BAL@HOU","HOU","BAL","","","","",""
"49877-33076","TE","Travis","Travis Kelce","Kelce","14","1","7800","KC@LAC","KC","LAC","","","","",""
"49877-55635","WR","Chris","Chris Godwin","Godwin","10.899999618530273","1","7800","CAR@TB","TB","CAR","O","Concussion","","",""
"49877-6616","QB","Matt","Matt Ryan","Ryan","24.899999618530273","1","7700","ATL@DAL","ATL","DAL","","","","",""
"49877-40442","RB","Aaron","Aaron Jones","Jones","15.600000381469727","1","7700","DET@GB","GB","DET","","","","",""
"49877-6498","QB","Tom","Tom Brady","Brady","22.459999084472656","1","7600","CAR@TB","TB","CAR","","","","",""
"49877-6589","QB","Ben","Ben Roethlisberger","Roethlisberger","22.059999465942383","1","7500","DEN@PIT","PIT","DEN","","","","",""
"49877-54244","WR","Kenny","Kenny Golladay","Golladay","13.46875","16","7500","DET@GB","DET","GB","O","Hamstring","","",""
"49877-52436","TE","Mark","Mark Andrews","Andrews","20.299999237060547","1","7500","BAL@HOU","BAL","HOU","","","","",""
