"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"50179-55050","RB","Christian","Christian McCaffrey","McCaffrey","24.899999618530273","2","10000","CAR@LAC","CAR","LAC","IR","Ankle","","",""
"50179-38791","RB","Ezekiel","Ezekiel Elliott","Elliott","22.700000762939453","2","9000","DAL@SEA","DAL","SEA","","","","",""
"50179-22015","QB","Russell","Russell Wilson","Wilson","33.099998474121094","2","8700","DAL@SEA","SEA","DAL","","","","",""
"50179-54140","RB","Dalvin","Dalvin Cook","Cook","18.700000762939453","2","8600","TEN@MIN","MIN","TEN","","","","",""
"50179-16606","WR","DeAndre","DeAndre Hopkins","Hopkins","19.450000762939453","2","8500","DET@ARI","ARI","DET","","","","",""
"50179-31716","QB","Dak","Dak Prescott","Prescott","28.719999313354492","2","8500","DAL@SEA","DAL","SEA","","","","",""
"50179-63484","QB","Kyler","Kyler Murray","Murray","30.219999313354492","2","8400","DET@ARI","ARI","DET","","","","",""
"50179-72731","RB","Josh","Josh Jacobs","Jacobs","22.950000762939453","2","8300","LV@NE","LV","NE","","","","",""
"50179-39280","RB","Derrick","Derrick Henry","Henry","11.5","2","8200","TEN@MIN","TEN","MIN","","","","",""
"50179-62239","QB","Josh","Josh Allen","Allen","31.34000015258789","2","8100","LAR@BUF","BUF","LAR","","","","",""
"50179-64555","WR","Calvin","Calvin Ridley","Ridley","27.899999618530273","2","8000","CHI@ATL","ATL","CHI","","","","",""
"50179-54879","QB","Deshaun","Deshaun Watson","Watson","18.760000228881836","2","8000","HOU@PIT","HOU","PIT","","","","",""
"50179-55635","WR","Chris","Chris Godwin","Godwin","10.899999618530273","1","7900","TB@DEN","TB","DEN","","","","",""
"50179-53562","RB","Nick","Nick Chubb","Chubb","15.449999809265137","2","7800","WAS@CLE","CLE","WAS","","","","",""
"50179-6616","QB","Matt","Matt Ryan","Ryan","26.709999084472656","2","7800","CHI@ATL","ATL","CHI","","","","",""
"50179-14190","WR","Julio","Julio Jones","Jones","11.800000190734863","2","7800","CHI@ATL","ATL","CHI","NA","Hamstring","","",""
"50179-64119","RB","Chris","Chris Carson","Carson","19.950000762939453","2","7700","DAL@SEA","SEA","DAL","","","","",""
"50179-32384","WR","Mike","Mike Evans","Evans","13.300000190734863","2","7700","TB@DEN","TB","DEN","","","","",""
"50179-14185","QB","Cam","Cam Newton","Newton","30.639999389648438","2","7700","LV@NE","NE","LV","","","","",""
"50179-70324","QB","Carson","Carson Wentz","Wentz","14.6899995803833","2","7600","CIN@PHI","PHI","CIN","","","","",""
"50179-80001","RB","Austin","Austin Ekeler","Ekeler","13","2","7500","CAR@LAC","LAC","CAR","","","","",""
"50179-6589","QB","Ben","Ben Roethlisberger","Roethlisberger","20.649999618530273","2","7500","HOU@PIT","PIT","HOU","","","","",""
"50179-39793","TE","George","George Kittle","Kittle","7.300000190734863","1","7500","SF@NYG","SF","NYG","O","Knee - mcl","","",""
"50179-64401","RB","Saquon","Saquon Barkley","Barkley","6.199999809265137","2","7500","SF@NYG","NYG","SF","IR","Knee - acl","","",""
"50179-54244","WR","Kenny","Kenny Golladay","Golladay","13.46875","16","7500","DET@ARI","DET","ARI","Q","Hamstring","","",""
"50179-38628","QB","Mitchell","Mitchell Trubisky","Trubisky","19.739999771118164","2","7500","CHI@ATL","CHI","ATL","","","","",""
"50179-71845","RB","Miles","Miles Sanders","Sanders","18.600000381469727","1","7400","CIN@PHI","PHI","CIN","","","","",""
