id,first_name,last_name,team,position,age,exp,pos,avg_type,points,pos_rank,drop_off,sd_pts,floor,ceiling,tier
4925,Drew,Brees,NOS,QB,41,19,QB,average,18.916,12,0.2859000000000016,NA,18.916,18.916,12
4925,Drew,Brees,NOS,QB,41,19,QB,robust,18.916,12,0.2859000000000016,0,18.916,18.916,12
4925,Drew,Brees,NOS,QB,41,19,QB,weighted,18.916,12,0.2859000000000016,NA,18.916,18.916,12
5848,Tom,Brady,TBB,QB,43,20,QB,average,22.003400000000003,6,1.1120000000000054,NA,22.003400000000003,22.003400000000003,6
5848,Tom,Brady,TBB,QB,43,20,QB,robust,22.003400000000003,6,1.1120000000000054,0,22.003400000000003,22.003400000000003,6
5848,Tom,Brady,TBB,QB,43,20,QB,weighted,22.003400000000003,6,1.1120000000000019,NA,22.003400000000003,22.003400000000003,6
6997,Jason,Witten,LVR,TE,38,17,TE,average,0.61,61,0.09399999999999997,NA,0.61,0.61,61
6997,Jason,Witten,LVR,TE,38,17,TE,robust,0.61,61,0.09399999999999997,0,0.61,0.61,61
6997,Jason,Witten,LVR,TE,38,17,TE,weighted,0.61,61,0.09399999999999997,NA,0.61,0.61,61
7393,Larry,Fitzgerald,ARI,WR,37,16,WR,average,8.239,63,0.6305000000000005,NA,8.239,8.239,63
7393,Larry,Fitzgerald,ARI,WR,37,16,WR,robust,8.239,63,0.6305000000000005,0,8.239,8.239,63
7393,Larry,Fitzgerald,ARI,WR,37,16,WR,weighted,8.239,63,0.6305000000000005,NA,8.239,8.239,63
7394,Philip,Rivers,IND,QB,39,16,QB,average,14.692400000000001,29,7.961,NA,14.692400000000001,14.692400000000001,29
7394,Philip,Rivers,IND,QB,39,16,QB,robust,14.692400000000001,29,7.961,0,14.692400000000001,14.692400000000001,29
7394,Philip,Rivers,IND,QB,39,16,QB,weighted,14.692400000000001,29,7.961,NA,14.692400000000001,14.692400000000001,29
7401,Ben,Roethlisberger,PIT,QB,38,16,QB,average,16.965,20,0.04510000000000147,NA,16.965,16.965,20
7401,Ben,Roethlisberger,PIT,QB,38,16,QB,robust,16.965,20,0.04510000000000147,0,16.965,16.965,20
